timestamp,model_name,model_type,sae_location,layer,width,type,dataset_name,dataset_config_name,dataset_split,top_n,binarize_value,last_token,linear_macro_f1_score,linear_accuracy,linear_mean_cv_accuracy,linear_std_cv_accuracy,decision_tree_macro_f1_score,decision_tree_accuracy,decision_tree_mean_cv_accuracy,decision_tree_std_cv_accuracy
2024-12-22T15:51:58.743535,google/gemma-2-2b,llm,res,5,65k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,en,0,0,False,0.9469192642008495,0.947,0.95425,0.007228416147400455,0.9459965437788018,0.946,0.93025,0.00538516480713452
2024-12-22T14:06:37.165117,google/gemma-2-2b,llm,res,5,65k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,zh,0,0,False,0.6459490166583988,0.646,0.6399999999999999,0.017975678012247545,0.5560662244738079,0.558,0.53075,0.01503329637837292
2024-12-22T14:06:37.170301,google/gemma-2-2b,llm,res,5,65k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,zh,0,0,False,0.6721604625517837,0.692,0.6715000000000001,0.06655542802807295,0.6496965207537246,0.651,0.6584999999999999,0.015153382460691747
2024-12-22T16:13:08.224350,google/gemma-2-2b,llm,res,5,65k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,en,20,0,False,0.9439991039856638,0.944,0.9359999999999999,0.007433034373659252,0.7429791813136863,0.743,0.772,0.015744046493833805
2024-12-22T16:13:08.228021,google/gemma-2-2b,llm,res,5,65k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,en,20,0,False,0.9479991679866878,0.948,0.9549999999999998,0.003708099243547835,0.923912042320923,0.924,0.9385000000000001,0.007132671308843541
2024-12-21T08:08:22.976662,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,ru,50,1,False,0.902,0.902,0.9047499999999999,0.005989574275355475,0.7476355857858747,0.748,0.74325,0.008463155439905376
2024-12-21T08:08:22.979645,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,ru,50,1,False,0.9449986249656241,0.945,0.9404999999999999,0.00875357070000579,0.928912918324948,0.929,0.90525,0.0039051248379533238
2024-12-21T07:32:38.001727,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,ru,0,1,False,0.9149693039187147,0.915,0.9015000000000001,0.004430011286667348,0.7406555584148224,0.742,0.7437500000000001,0.014383149863642551
2024-12-21T07:32:38.004697,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,ru,0,1,False,0.9499981999351976,0.95,0.9494999999999999,0.007810249675906678,0.8909204810306713,0.891,0.88825,0.010356157588603983
2024-12-21T07:20:53.379810,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,ru,0,0,False,0.9149856325719047,0.915,0.9027499999999999,0.008344159634139328,0.7406555584148224,0.742,0.7437500000000001,0.014383149863642551
2024-12-21T07:20:53.383322,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,ru,0,0,False,0.9459688780737705,0.946,0.9447500000000002,0.006244997998398391,0.9289914079603632,0.929,0.9202499999999999,0.005086747487343955
2024-12-21T04:27:14.530163,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,es,20,0,False,0.8159528839382881,0.816,0.8300000000000001,0.006422616289332574,0.6960424316605467,0.702,0.6970000000000001,0.012186057606953916
2024-12-21T04:27:14.533146,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,es,20,0,False,0.8909998909998911,0.891,0.8815,0.00811634154037398,0.8499513842484965,0.85,0.8327500000000001,0.013285330255586428
2024-12-21T10:07:39.070890,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,en,0,0,False,0.952999576996193,0.953,0.95,0.00440170421541474,0.8009663633154003,0.801,0.7889999999999999,0.017667059744054765
2024-12-21T10:07:39.074229,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,en,0,0,False,0.9629981869111587,0.963,0.9652499999999999,0.004834769901453409,0.940999940999941,0.941,0.94625,0.005477225575051656
2024-12-21T09:02:57.774731,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,zh,20,0,False,0.6847701974739585,0.685,0.678,0.006154266812545586,0.55333797058856,0.555,0.5765,0.015680401780566722
2024-12-21T09:02:57.780474,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,zh,20,0,False,0.728628492406104,0.729,0.735,0.011096170510586069,0.6649031570123766,0.665,0.6637500000000001,0.011752659273543157
2024-12-21T04:36:00.495923,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,es,20,1,False,0.8099809980998101,0.81,0.83675,0.00930725523449315,0.6960424316605467,0.702,0.6970000000000001,0.012186057606953916
2024-12-21T04:36:00.499173,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,es,20,1,False,0.8659978559656955,0.866,0.8735000000000002,0.008529361054615993,0.8287655800791283,0.829,0.828,0.009861541461658031
2024-12-21T09:25:49.428950,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,zh,50,1,False,0.6843637416366444,0.686,0.67325,0.004847679857416354,0.5958965495166764,0.596,0.5642499999999999,0.012956658519849952
2024-12-21T09:25:49.431776,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,zh,50,1,False,0.7128963555843659,0.713,0.7150000000000001,0.010517841983981294,0.642739557137153,0.643,0.655,0.016658331248957714
2024-12-21T10:44:59.081655,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,en,50,0,False,0.9449986249656241,0.945,0.9540000000000001,0.004898979485566363,0.7801820574357183,0.781,0.7835,0.015937377450509212
2024-12-21T10:44:59.085095,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,en,50,0,False,0.9619986319507502,0.962,0.9615,0.0026692695630078584,0.945999783999136,0.946,0.9385,0.007305819598101229
2024-12-21T09:18:13.913722,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,zh,50,0,False,0.6857171454308878,0.686,0.6797500000000001,0.0032015621187164046,0.5958965495166764,0.596,0.5642499999999999,0.012956658519849952
2024-12-21T09:18:13.916773,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,zh,50,0,False,0.7199899196371069,0.72,0.738,0.007648529270389162,0.6561744749142692,0.657,0.6652499999999999,0.012077872329181151
2024-12-21T04:54:16.268299,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,es,50,1,False,0.8268918073796123,0.827,0.82325,0.007185053931599959,0.6896889357535588,0.691,0.6975,0.017338540884399723
2024-12-21T04:54:16.271171,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,es,50,1,False,0.8889990009910089,0.889,0.891,0.012026013470805693,0.8149776122910872,0.815,0.8032499999999999,0.013523128336298538
2024-12-21T08:00:16.776496,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,ru,50,0,False,0.9009919803504084,0.901,0.9022499999999999,0.0034820970692960368,0.7476355857858747,0.748,0.74325,0.008463155439905376
2024-12-21T08:00:16.779980,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,ru,50,0,False,0.9499967997951868,0.95,0.9484999999999999,0.006680194607943722,0.9429999429999429,0.943,0.9195,0.0045138675213169605
2024-12-21T10:53:20.428493,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,en,50,1,False,0.9499991999871998,0.95,0.95175,0.005099019513592784,0.7801820574357183,0.781,0.7835,0.015937377450509212
2024-12-21T10:53:20.431326,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,en,50,1,False,0.9449955446391157,0.945,0.95175,0.005338539126015669,0.9249831212022706,0.925,0.9275,0.0037080992435478497
2024-12-21T06:26:56.192736,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,de,50,0,False,0.8759682478714551,0.876,0.8707499999999999,0.00944060379424959,0.7039242045963767,0.704,0.7035,0.014017845768876176
2024-12-21T06:26:56.196306,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,de,50,0,False,0.9309999309999311,0.931,0.92325,0.007441438033068597,0.8949872934625089,0.895,0.8702499999999999,0.014903858560788888
2024-12-21T07:42:23.546918,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,ru,20,0,False,0.8989877775210801,0.899,0.9045,0.006204836822995427,0.7386798828564992,0.739,0.7297499999999999,0.028133609793270408
2024-12-21T07:42:23.550506,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,ru,20,0,False,0.9419767907162865,0.942,0.9390000000000001,0.004568916720624251,0.9329918920189343,0.933,0.9269999999999999,0.006354132513569411
2024-12-21T10:36:02.353096,google/gemma-2-2b,llm,res,12,16k,Hidden States,AIM-Harvard/multilingual_toxicity_dataset,,en,20,1,False,0.9399913587556608,0.94,0.9502499999999999,0.006093028803476953,0.7899966399462391,0.79,0.78825,0.015362291495737207
2024-12-21T10:36:02.356129,google/gemma-2-2b,llm,res,12,16k,SAE Features,AIM-Harvard/multilingual_toxicity_dataset,,en,20,1,False,0.9319975519118688,0.932,0.9412499999999999,0.004541475531146251,0.9279435077100446,0.928,0.9145,0.0035881750236018365
